;CountryCode;WHOSIS_000001;MH_12;NCD_BMI_MEANC;UHC_AVAILABILITY_SCORE;VIOLENCE_HOMICIDERATE;WHS3_49;NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV;M_Est_tob_curr_std
75;IND;69.31467;12.9173;21.7;86.11111;3.99299;0.0;52.7;32.2
76;IRL;81.1396;8.71;27.7;64.58333;0.74817;0.0;11.2;23.8
77;IRN;76.66063;5.96;26.0;64.58333;3.35424;0.0;23.0;15.3
78;IRQ;70.29305;5.4;28.1;83.33333;16.03775;0.0;28.6;19.1
79;ISL;82.13903;13.1691;26.4;70.83333;0.68942;0.0;9.6;15.2
80;ISR;81.93443;4.45;27.4;64.58333;1.83234;0.0;11.9;23.4
81;ITA;82.20576;4.83;26.3;79.16667;0.77421;0.0;12.5;23.8
82;JAM;75.85057;2.17;27.6;61.80556;48.01908;;19.4;11.0
83;JOR;77.8223;1.85;28.4;88.88889;2.8294;0.0;33.2;33.7
84;JPN;83.61682;14.8941;22.9;62.5;0.26865;0.0;19.2;22.7
85;KAZ;71.90915;23.4201;26.3;85.41667;6.39154;0.0;27.7;25.4
86;KEN;64.16978;10.6368;23.1;85.41667;5.99403;0.0;28.1;12.8
87;KGZ;71.59398;10.8742;26.0;60.41667;5.82727;0.0;34.8;28.4
88;KHM;69.17362;5.75;22.0;53.47222;2.43973;0.0;46.5;25.2
89;KIR;58.19797;31.5882;30.0;80.55556;5.20837;;32.1;46.4
90;KOR;82.20299;21.2004;23.9;62.5;1.0255;0.0;13.1;23.8
91;KWT;81.13089;2.4;29.4;36.80556;1.82937;0.0;22.4;18.3
92;LAO;67.07706;6.2;22.6;80.55556;6.99092;8.0;37.2;35.8
93;LBN;75.98468;2.87;27.4;70.83333;4.15434;0.0;26.7;38.7
94;LBR;61.16508;7.71;23.9;63.88889;10.81408;0.0;42.7;9.6
95;LBY;74.60217;5.48;27.8;42.36111;2.42142;0.0;28.9;
96;LCA;75.00793;7.89;29.8;45.13889;18.53768;;13.7;
97;LKA;76.26894;14.6994;23.1;77.08333;3.01537;0.0;33.8;23.3
98;LSO;47.66742;114.4881;24.4;66.66667;45.34385;0.0;27.5;25.6
99;LTU;74.37679;28.9273;27.0;56.25;5.71741;0.0;19.1;34.0
100;LUX;82.30824;9.57;26.7;64.58333;0.70243;0.0;9.3;23.2
101;LVA;74.79697;17.1391;27.3;56.25;6.08507;0.0;21.2;38.5
102;MAR;72.46462;7.63;25.8;85.41667;1.57182;0.0;29.5;16.2
103;MDA;71.13158;13.6824;27.3;64.58333;5.48927;0.0;25.9;27.9
104;MDG;64.18649;9.53;21.2;69.44444;7.14403;10.0;37.4;31.3
105;MDV;78.40925;2.95;24.9;68.75;2.02865;0.0;48.3;27.6
106;MEX;75.86538;5.6;27.8;91.66667;17.11223;0.0;15.1;15.2
107;MKD;73.72823;7.28;26.9;60.41667;1.54447;0.0;17.9;
108;MLI;60.88689;8.46;22.8;83.33333;11.36717;0.0;58.3;9.9
109;MLT;81.64819;6.55;27.7;64.58333;0.87063;0.0;12.6;26.3
110;MMR;67.57671;3.34;22.6;75.0;4.09718;2.0;40.4;48.8
111;MNE;75.27178;16.3497;26.8;77.08333;3.43942;0.0;16.3;33.1
112;MNG;67.61475;19.6771;25.9;88.88889;7.51767;0.0;14.1;30.6
113;MOZ;55.94504;23.966;22.6;83.33333;4.06018;0.0;48.3;17.0
114;MRT;67.40752;5.33;24.6;75.0;11.6399;0.0;44.2;12.6
115;MUS;74.13624;7.51;25.3;59.02778;2.34604;0.0;20.7;21.4
116;MWI;63.0444;12.5862;22.8;77.77778;2.65277;0.0;30.4;13.1
117;MYS;74.95027;5.22;25.6;77.08333;2.81762;0.0;30.7;23.9
118;NAM;62.86888;16.2875;23.7;42.36111;19.01236;0.0;24.5;17.1
119;NER;61.53951;10.3889;21.7;75.0;10.36167;0.0;49.3;7.9
120;NGA;61.15609;7.31;23.0;83.33333;9.9513;1.0;54.9;4.7
121;NIC;74.61766;4.47;26.8;51.38889;10.24336;0.0;13.9;
122;NLD;81.28043;9.31;26.1;64.58333;0.60856;;11.5;24.6
123;NOR;82.00599;10.5871;27.0;64.58333;0.42299;0.0;11.0;20.7
124;NPL;69.4259;9.83;22.3;91.66667;2.67159;0.0;35.3;36.0
