CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
TCD,57.9122,5.8,13.9687,83.33333,9.55485,0.0,47.6,0,7.69999980926514,100.0,774.411600504375,128.7,44.39909697,77.485,1.0,0.0
CHL,79.81646,27.5,9.17,79.16667,4.53194,0.0,8.0,0,99.71484375,98.5762989258251,13569.9478008231,7.9,99.50649272,12.64,0.0,0.0
CHN,76.64185,5.9,7.08,68.05556,0.94509,0.0,14.9,0,100.0,99.9999551645374,8016.43143498352,10.7,91.76264123,44.5,0.0,0.0
COL,78.35336,21.9,4.04,85.41667,44.40276,0.0,21.1,0,98.186897277832,96.3381509958462,6228.4262990412,15.5,96.33586812,20.236,0.0,0.0
COM,66.45436,7.5,8.8,29.86111,8.01234,0.0,33.0,0,74.5719833374023,100.0,1322.93669549676,72.3,80.13200008,71.53,1.0,0.0
COG,63.11351,9.2,12.4629,69.44444,10.4984,0.0,51.1,0,44.4016494750977,100.0,2347.81849884859,52.6,71.14958177,34.457,1.0,0.0
COK,,55.4,,50.69444,,,26.2,0,,,,,,,,
CRI,80.7813,25.0,6.41,83.33333,11.42648,0.0,12.6,0,99.4098052978516,99.9799860248742,11529.9545258398,9.1,99.37868682,23.138,0.0,0.0
CIV,60.19939,9.8,17.7148,61.11111,12.16974,0.0,51.7,0,62.5999984741211,100.0,1941.56633627815,90.8,71.0757669,50.556,1.0,0.0
HRV,77.5798,23.9,12.1535,79.16667,0.87966,0.0,20.5,0,100.0,100.0,11952.3111753908,4.9,,43.845,0.0,0.0
CUB,77.91375,24.1,10.3608,80.55556,5.69,0.0,19.5,0,98.6834564208984,99.9999999999811,7683.75789050585,5.7,95.87179647,23.104,0.0,0.0
CYP,82.01412,21.4,4.17,56.25,1.3922,0.0,12.4,0,100.0,100.0,23487.125,2.9,99.78851757,33.054,0.0,0.0
CZE,78.45764,25.6,10.492,56.25,0.77246,0.0,20.5,0,100.0,99.8282838822608,17829.6983223668,3.2,99.88009269,26.523,0.0,0.0
DNK,80.59389,19.3,8.07,72.91667,1.08057,0.0,11.6,0,100.0,75.1874411831808,53254.8563700916,4.1,99.99999785,12.474,0.0,1.0
DJI,64.64274,13.2,11.889,41.66667,6.99889,0.0,31.3,0,57.5785636901855,100.0,2409.31190224284,65.8,75.78704503,22.583,1.0,0.0
DMA,,27.3,,40.27778,,,19.9,0,99.8290176391602,100.0,7724.04241057376,31.1,95.42065606,30.421,0.0,0.0
DOM,71.75336,26.9,6.84,53.47222,19.92517,0.0,27.3,0,98.5603637695313,99.9785982241453,6838.93659408348,35.0,96.0993385,21.434,0.0,0.0
COD,60.44355,6.4,12.2673,66.66667,13.38556,0.0,44.1,0,16.1482429504395,100.0,482.0645483336,95.9,42.71817997,57.26,1.0,0.0
ECU,77.18231,19.4,8.88,67.36111,8.80616,0.0,17.0,0,98.8258819580078,99.3891695178291,6130.58667556768,15.4,93.0637795,36.602,0.0,0.0
EGY,70.4922,31.3,3.72,72.91667,3.98465,0.0,29.7,0,99.3000030517578,100.0,3370.38244716015,23.3,99.10671754,57.215,1.0,0.0
SLV,73.24693,24.0,6.78,73.61111,87.53632,0.0,9.9,0,95.4000015258789,100.0,3761.51368000275,15.5,95.56213774,30.3,1.0,0.0
GNQ,61.12561,7.7,15.3251,29.86111,3.44811,0.0,45.8,0,66.0409774780273,100.0,9788.98377058219,93.2,64.17860165,29.384,0.0,0.0
ERI,62.29015,4.8,18.6896,43.75,11.44234,0.0,36.3,0,46.0322418212891,100.0,,46.3,51.46509353,61.794,0.0,0.0
EST,77.60223,20.9,13.3612,70.83333,3.47005,0.0,21.2,0,100.0,0.0,17402.0376128079,3.1,99.75130757,31.584,0.0,0.0
ETH,66.82242,4.3,9.98,86.11111,7.85502,0.0,22.5,0,29.0,100.0,630.31268211446,62.4,42.0700672,80.572,1.0,0.0
FJI,67.82661,29.5,10.0142,53.47222,2.31026,,31.5,0,95.1682434082031,99.978648421315,5105.26262664449,24.4,94.26255867,45.274,0.0,0.0
FIN,81.21355,21.8,12.1491,70.83333,1.41622,0.0,10.0,0,100.0,0.0,42801.9081167285,2.5,99.99999666,14.775,0.0,1.0
FRA,81.9132,21.2,11.4792,70.83333,0.9316,0.0,9.4,0,100.0,90.4121184733779,36652.9223052178,4.2,100.0,20.345,0.0,1.0
GAB,64.93317,14.6,15.1732,41.66667,8.94675,0.0,54.0,0,87.3768615722656,100.0,7090.45460996325,50.3,83.85848655,11.882,0.0,0.0
GMB,64.14439,9.9,10.2938,80.55556,8.79456,0.0,53.9,0,54.5619888305664,100.0,611.671334233568,59.8,79.2101665,40.772,1.0,0.0
GEO,72.58078,21.1,8.79,85.41667,2.90544,0.0,26.8,0,100.0,100.0,4014.18594419329,10.5,95.75472951,42.552,1.0,0.0
DEU,80.42174,21.9,9.0,64.58333,0.91784,0.0,10.2,0,100.0,95.9525959398708,41103.2564363768,3.9,100.0000024,22.8,0.0,1.0
GHA,64.5454,10.5,12.0199,80.55556,6.26367,0.0,40.7,0,74.0788421630859,100.0,1711.29066611485,54.6,80.15796123,45.914,1.0,0.0
GRC,80.37633,24.4,3.78,72.91667,0.93762,0.0,13.6,0,100.0,99.9999999999784,18083.8779056547,4.4,100.0000046,21.954,0.0,0.0
GRD,72.69942,20.7,0.623,43.05556,5.47552,,18.7,0,91.2906875610352,100.0,8379.62184743156,16.2,95.62865044,64.003,0.0,0.0
GTM,70.94937,20.6,6.4,86.11111,28.20231,0.0,8.9,0,90.520622253418,100.0,3994.63691288475,28.3,92.13403385,50.029,1.0,0.0
GIN,58.81324,7.4,12.9852,72.22222,9.43118,7.0,49.9,1,34.7451210021973,100.0,756.425594058563,107.3,63.61538954,64.859,1.0,0.0
GNB,58.23238,9.1,13.0794,72.22222,9.5999,0.0,49.1,0,20.0531539916992,100.0,585.957010585942,92.1,58.76434762,57.877,1.0,0.0
GUY,65.58898,19.6,39.2983,65.27778,22.59688,,32.7,0,88.0038375854492,99.9998086271857,5668.42976474423,33.1,95.16185695,73.559,0.0,0.0
HTI,62.60823,21.8,11.9741,88.88889,20.76585,0.0,47.4,0,40.8362846374512,100.0,1404.15521407257,69.9,64.56748594,47.573,1.0,0.0
HND,69.81947,20.8,4.57,53.47222,68.57699,0.0,16.9,0,89.9817123413086,99.9988766711252,2257.2227122596,19.2,93.25441071,44.835,1.0,0.0
HUN,75.56887,25.9,14.6034,56.25,1.62703,0.0,19.6,0,100.0,100.0,12717.038597002,5.1,99.97052896,29.5,0.0,0.0
