CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio
JPN,83.61682,4.1,14.8941,62.5,0.26865,0.0,19.2,0
JOR,77.8223,34.9,1.85,88.88889,2.8294,0.0,33.2,0
KAZ,71.90915,20.5,23.4201,85.41667,6.39154,0.0,27.7,0
KEN,64.16978,6.8,10.6368,85.41667,5.99403,0.0,28.1,0
KIR,58.19797,45.3,31.5882,80.55556,5.20837,,32.1,0
KWT,81.13089,37.4,2.4,36.80556,1.82937,0.0,22.4,0
KGZ,71.59398,16.0,10.8742,60.41667,5.82727,0.0,34.8,0
LAO,67.07706,5.0,6.2,80.55556,6.99092,8.0,37.2,1
LVA,74.79697,23.3,17.1391,56.25,6.08507,0.0,21.2,0
LBN,75.98468,31.4,2.87,70.83333,4.15434,0.0,26.7,0
LSO,47.66742,16.2,114.4881,66.66667,45.34385,0.0,27.5,0
LBR,61.16508,9.6,7.71,63.88889,10.81408,0.0,42.7,0
LBY,74.60217,31.9,5.48,42.36111,2.42142,0.0,28.9,0
LTU,74.37679,26.0,28.9273,56.25,5.71741,0.0,19.1,0
LUX,82.30824,22.2,9.57,64.58333,0.70243,0.0,9.3,0
MKD,73.72823,22.0,7.28,60.41667,1.54447,0.0,17.9,0
MDG,64.18649,5.1,9.53,69.44444,7.14403,10.0,37.4,1
MWI,63.0444,5.5,12.5862,77.77778,2.65277,0.0,30.4,0
MYS,74.95027,14.9,5.22,77.08333,2.81762,0.0,30.7,0
MDV,78.40925,8.1,2.95,68.75,2.02865,0.0,48.3,0
MLI,60.88689,8.2,8.46,83.33333,11.36717,0.0,58.3,0
MLT,81.64819,28.5,6.55,64.58333,0.87063,0.0,12.6,0
MHL,,52.4,,56.94444,,,29.9,0
MRT,67.40752,12.3,5.33,75.0,11.6399,0.0,44.2,0
MUS,74.13624,10.5,7.51,59.02778,2.34604,0.0,20.7,0
MEX,75.86538,28.3,5.6,91.66667,17.11223,0.0,15.1,0
FSM,62.74269,45.1,28.3721,34.02778,4.64529,,23.5,0
MDA,71.13158,18.5,13.6824,64.58333,5.48927,0.0,25.9,0
MNG,67.61475,19.9,19.6771,88.88889,7.51767,0.0,14.1,0
MNE,75.27178,22.8,16.3497,77.08333,3.43942,0.0,16.3,0
MAR,72.46462,25.4,7.63,85.41667,1.57182,0.0,29.5,0
MOZ,55.94504,6.9,23.966,83.33333,4.06018,0.0,48.3,0
MMR,67.57671,5.4,3.34,75.0,4.09718,2.0,40.4,1
NAM,62.86888,16.7,16.2875,42.36111,19.01236,0.0,24.5,0
NRU,,60.7,,42.36111,,,29.4,0
NPL,69.4259,3.9,9.83,91.66667,2.67159,0.0,35.3,0
NLD,81.28043,20.0,9.31,64.58333,0.60856,,11.5,0
NZL,81.31198,30.2,11.1336,70.83333,1.36784,0.0,9.3,0
NIC,74.61766,23.1,4.47,51.38889,10.24336,0.0,13.9,0
NER,61.53951,5.2,10.3889,75.0,10.36167,0.0,49.3,0
NGA,61.15609,8.5,7.31,83.33333,9.9513,1.0,54.9,1
NIU,,49.2,,31.25,,,26.4,0
PRK,71.75806,6.5,9.47,61.11111,4.43786,0.0,32.5,0
NOR,82.00599,22.6,10.5871,64.58333,0.42299,0.0,11.0,0
OMN,72.52431,26.3,4.7,70.83333,0.71395,0.0,28.8,0
PAK,64.18282,8.2,9.96,77.77778,6.45795,56.0,42.0,1
PLW,,54.8,,50.69444,,,27.7,0
PAN,78.71516,22.2,2.95,68.75,17.25449,0.0,21.3,0
PNG,64.48792,20.7,3.65,83.33333,10.81859,0.0,33.6,0
PRY,75.56395,19.8,5.85,72.22222,10.4874,0.0,22.4,0
