economy,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
FJI,95.1682434082031,99.978648421315,5105.26262664449,24.4,94.26255867,45.274,0,0
FRA,100.0,90.4121184733779,36652.9223052178,4.2,100.0,20.345,0,1
FRO,100.0,,52726.7422373484,,100.0,58.362,0,1
FSM,73.9390563964844,99.9999999976395,2891.32210264749,28.9,88.30815668,77.544,1,0
GAB,87.3768615722656,100.0,7090.45460996325,50.3,83.85848655,11.882,0,0
GBR,100.0,71.9634942035637,45071.0743234873,4.5,100.0000015,17.374,0,1
GEO,100.0,100.0,4014.18594419329,10.5,95.75472951,42.552,1,0
GHA,74.0788421630859,100.0,1711.29066611485,54.6,80.15796123,45.914,1,0
GIB,100.0,,,,100.0,0.0,0,0
GIN,34.7451210021973,100.0,756.425594058563,107.3,63.61538954,64.859,1,0
GMB,54.5619888305664,100.0,611.671334233568,59.8,79.2101665,40.772,1,0
GNB,20.0531539916992,100.0,585.957010585942,92.1,58.76434762,57.877,1,0
GNQ,66.0409774780273,100.0,9788.98377058219,93.2,64.17860165,29.384,0,0
GRC,100.0,99.9999999999784,18083.8779056547,4.4,100.0000046,21.954,0,0
GRD,91.2906875610352,100.0,8379.62184743156,16.2,95.62865044,64.003,0,0
GRL,100.0,98.7535456326015,44536.4013080999,,100.0,13.929,0,1
GTM,90.520622253418,100.0,3994.63691288475,28.3,92.13403385,50.029,1,0
GUM,100.0,100.0,34522.3779304433,,99.6952,5.46599999999999,0,1
GUY,88.0038375854492,99.9998086271857,5668.42976474423,33.1,95.16185695,73.559,0,0
HIC,99.9692083476461,61.5469721087734,39819.1878688144,5.3,99.5393717834891,19.6404938418641,0,1
HKG,100.0,,42431.8882817277,,100.0,0.0,0,1
HND,89.9817123413086,99.9988766711252,2257.2227122596,19.2,93.25441071,44.835,1,0
HPC,35.3528964349535,99.9993708243978,955.007265642843,76.715913255611,56.1733292645122,65.3127676453009,1,0
HRV,100.0,100.0,11952.3111753908,4.9,,43.845,0,0
HTI,40.8362846374512,100.0,1404.15521407257,69.9,64.56748594,47.573,1,0
HUN,100.0,100.0,12717.038597002,5.1,99.97052896,29.5,0,0
IBD,95.2017107433374,98.2161735062548,5517.28333622354,26.4635022895445,91.740567343964,46.8690283698437,0,0
IBT,84.3071445810979,98.6523891960577,4472.2307291167,46.2421144647101,86.0933336652322,51.2399397337118,1,0
IDA,51.4810560957912,99.96823814152,1322.64109630682,77.4886139305511,69.0735188508441,64.4249608058674,1,0
IDB,61.6155127825436,99.9999628517376,1930.46018693705,92.0261185161531,77.1812507732006,59.233159897902,1,0
IDN,97.5373687744141,96.142372495414,3322.58168813599,27.7,88.52735296,46.687,1,0
IDX,46.2842650312467,99.9519416875993,1010.96096221776,69.9023469497982,64.9087564805498,67.0918739774699,1,0
IMN,100.0,,84759.345951354,,99.075,47.755,0,1
IND,88.0,100.0,1590.17391842781,43.5,88.13813263,67.223,1,0
INX,,,,,,,0,0
IRL,100.0,2.71819083411953,62053.9844381587,3.7,97.37212799,37.462,0,1
IRN,99.9599990844727,100.0,4990.93679760475,15.5,96.80698708,26.642,1,0
IRQ,99.3454284667969,100.0,4416.94304894546,29.7,94.2475933,30.079,1,0
ISL,100.0,11.9849547773209,52951.6815110898,2.3,100.0000023,6.3,0,1
ISR,100.0,100.0,36206.5222171621,3.9,100.0000015,7.821,0,1
ITA,100.0,96.7545739375126,30242.3861352184,3.5,99.91703407,30.435,0,1
JAM,94.9000015258789,100.0,5077.55062188355,15.5,90.41679629,45.167,0,0
JOR,99.8981704711914,100.0,4064.25301644124,17.5,99.00678491,9.744,1,0
JPN,100.0,88.6686504162249,34960.6393843385,2.7,98.92280548,8.619,0,1
KAZ,100.0,92.6415526035327,10510.7718884149,11.9,95.02533441,42.809,0,0
KEN,41.5999984741211,100.0,1496.65285612239,48.9,58.19692798,74.342,1,0
KGZ,98.6900024414063,99.1089483849592,1121.08283510739,22.3,88.44176125,64.223,1,0
KHM,64.9104232788086,100.0,1170.74281578324,31.8,68.44384896,77.812,1,0
KIR,90.5581817626953,99.9999995726362,1459.13302105094,57.6,73.84809659,48.381,1,0
KNA,100.0,,20025.9623507165,16.9,98.61185413,69.173,0,0
KOR,100.0,100.0,28732.2310762599,3.5,99.47274641,18.366,0,0
KWT,100.0,100.0,29310.522105363,8.8,100.0,0.0,0,0
LAC,97.0491225764346,90.2593980027773,8223.39454971266,18.5020549506911,95.9373780091626,20.7584490166908,0,0
LAO,89.6999969482422,100.0,2125.45905698314,53.8,77.46057221,66.892,1,0
LBN,99.5831756591797,100.0,7802.75136773923,8.3,91.22432251,11.894,0,0
LBR,15.161735534668,100.0,699.662946853965,88.3,72.56979194,50.18,1,0
LBY,73.4285736083984,100.0,7867.57189285698,13.3,97.28161516,20.73,0,0
LCA,97.0327377319336,100.0,10290.3789108118,21.9,95.56809428,81.485,0,0
LCN,97.2850339326894,90.2138746663517,8645.2709525205,18.3,96.0010718270042,20.0899193228624,0,0
LDC,42.413563465635,99.9999999999474,998.599909250918,72.0240888047679,62.722108791372,67.9721076212454,1,0
LIC,32.0867867071883,100.0,778.135808862351,78.7,54.3896748613141,68.2107578213564,1,0
LIE,100.0,,167805.956932057,,100.0,85.697,0,1
LKA,94.3518676757813,100.0,4060.13178524716,8.7,90.11102857,81.744,1,0
LMC,82.354056510614,99.658750507201,2088.22078732738,52.9,86.0469308484092,59.8573813346765,1,0
LMY,83.8671410234469,98.6901854564902,4329.53989206234,46.5270698696527,85.9344538494827,51.5556698053208,1,0
LSO,31.6773338317871,100.0,1113.87132770562,94.6,70.5456894,73.092,1,0
LTE,98.8304127222481,96.4106653593419,8213.12337286025,12.20938903584,93.4405253989936,40.1884672095152,0,0
LTU,100.0,99.5312152983186,14263.9645773495,4.9,96.60413858,32.77,0,0
LUX,100.0,79.9792668255678,105462.012584423,2.8,99.92517066,9.821,0,1
LVA,100.0,92.2730865530648,13786.4567953114,5.0,98.52511728,32.02,0,0
MAC,100.0,,73220.2687642554,,100.0,0.0,0,1
MAF,100.0,,,,99.9997742,,0,0
MAR,97.3000030517578,100.0,3139.24365234375,23.5,83.75113288,39.191,1,0
MCO,100.0,,170337.924412652,3.5,100.0,0.0,0,1
MDA,100.0,100.0,2731.06558405856,15.8,88.5760319,57.51,1,0
MDG,23.0059337615967,100.0,455.638039705577,59.0,48.89177354,64.807,1,0
MDV,99.7064743041992,6.87120465177289e-08,9434.3310782449,9.8,98.81424429,61.471,0,0
MEA,96.4531978115126,100.0,7183.07451286568,24.9,93.1578834612055,35.9426299203349,0,0
MEX,99.0,99.7152655416406,9753.38004823861,16.2,98.02544354,20.715,0,0
MHL,92.5262756347656,99.9999988042643,3703.64905889496,35.4,88.34252362,24.189,1,0
MIC,89.556045024463,98.5462355111401,4720.1503964477,39.9057777295588,89.4012391129985,49.7252682127718,1,0
MKD,100.0,100.0,4861.55397141497,11.4,97.47233283,42.592,1,0
MLI,37.5999984741211,100.0,723.504202500133,108.3,74.39951222,60.009,1,0
MLT,100.0,100.0,24921.5790015791,6.6,100.0,5.586,0,0
MMR,60.5,100.0,1224.56234328693,52.2,73.5874705,70.142,1,0
MNA,95.8681961252199,100.0,3805.68400915465,26.8849519968172,92.1793600762378,39.6433462205699,1,0
MNE,100.0,100.0,6517.16375162528,4.0,97.39129537,34.194,0,0
MNG,88.4001770019531,97.9517847849117,3919.35114779589,19.4,80.81301209,31.77,1,0
MNP,100.0,34.6153846153846,17665.1007493109,,99.98018339,8.643,0,0
MOZ,24.0,100.0,594.226533517809,84.0,51.17617521,65.6,1,0
MRT,39.5,100.0,1562.72524811646,82.7,66.9733094,48.911,1,0
MUS,99.3616104125977,100.0,9509.93465545353,14.5,99.86648182,59.0,0,0
MWI,10.8000001907349,100.0,376.246204801105,53.3,66.15495914,83.687,1,0
MYS,99.7788162231445,93.5081780350891,9699.58402084731,8.1,97.05220256,25.787,0,0
NAC,100.0,7.70694800110292,55452.4213839576,6.7,99.4254156561111,18.3669063071806,0,1
NAM,51.5999984741211,100.0,4965.68085962392,47.6,82.52413515,53.1,1,0
NCL,100.0,,32428.5824862295,,98.13855849,30.621,0,1
NER,16.6000003814697,100.0,481.111299477459,93.8,45.48245806,83.753,1,0
NGA,52.5,100.0,2679.55476480921,126.4,68.77975546,52.162,1,0
NIC,83.2493286132813,99.9295179907473,2025.32477597575,19.4,81.35312854,42.105,1,0
NLD,100.0,99.8116826887052,45193.4032187971,4.0,99.99999856,9.827,0,1
NOR,100.0,2.02465674369929,74355.5158575643,2.7,100.0000012,18.909,0,1
NPL,82.5239562988281,100.0,882.307448776577,35.5,87.80846759,81.443,1,0
NRU,99.0,,7736.22363607495,33.2,100.0,0.0,0,0
NZL,100.0,0.349574373935346,38630.7265886928,5.5,99.99999735,13.659,0,1
OED,99.839632933739,65.6279534027404,35599.0800395663,7.74857866630195,99.1294603647294,20.015592271112,0,1
OMN,100.0,100.0,18777.4330589162,11.2,90.23848564,18.65,0,0
OSS,72.3451631928935,91.6734495387022,12502.0953801451,54.3097203714978,84.5839519319475,39.4535645625731,0,0
PAK,71.3815460205078,100.0,1282.44315294243,76.0,89.45498234,63.974,1,0
PAN,92.2947692871094,87.2894289287745,13669.5594424097,17.0,92.90436561,33.304,0,0
PER,93.852180480957,99.9733888894223,6180.1949572907,15.7,90.28200304,22.643,0,0
PHL,89.0800018310547,99.4330928712387,2974.29953130009,29.6,92.01770102,53.716,1,0
PLW,99.3692398071289,,15761.3633809149,19.8,99.63015085,21.841,0,0
PNG,42.8782196044922,99.9999999999861,2502.08429055221,51.0,41.48550844,86.988,1,0
POL,100.0,99.9962149714443,12560.051419682,4.9,99.23206988,39.722,0,0
PRE,39.9407159931096,100.0,1552.54503301812,89.0008434158039,60.1459958162439,60.2782817735629,1,0
PRI,100.0,14.6788990825688,29763.4883013861,,99.42544976,6.376,0,0
PRK,40.6374969482422,100.0,,21.1,95.21488171,38.723,0,0
PRT,100.0,27.458494054092,19250.1065376852,3.6,99.90468984,36.486,0,0
PRY,99.3315353393555,100.0,5861.40189546648,22.3,96.83621453,39.25,0,0
PSE,99.9000015258789,100.0,3272.15432360708,19.2,96.37985671,24.632,1,0
PSS,79.5551048618503,99.9918113298984,3724.5916743202,25.3153059887302,86.1581305441596,61.9559022429636,1,0
PST,99.9854276411783,58.7669432345221,40638.3758095101,5.12275130160585,99.2862274468912,19.2560740011059,0,1
PYF,100.0,,18252.5199732421,,100.0,38.317,0,0
QAT,100.0,100.0,66984.9102002396,7.8,99.69150138,1.05500000000001,0,1
ROU,100.0,99.3790947507232,8976.88053477541,9.2,100.0,46.113,0,0
RUS,95.5,91.8274018970421,9313.013671875,8.2,96.52715543,25.95,0,0
RWA,22.7999992370605,100.0,733.441121804147,47.7,57.12177402,82.996,1,0
SAS,84.5427706253558,99.9754626363562,1523.69780745339,48.8,88.6062033398659,67.2411987817537,1,0
SAU,100.0,100.0,19977.7946924217,9.1,99.54802638,16.82,0,0
SDN,46.9031066894531,100.0,2226.42163085938,65.9,58.95025332,66.106,1,0
SEN,60.5,100.0,1238.12639559545,49.4,78.60209362,54.138,1,0
SGP,100.0,100.0,55646.6187469505,2.7,100.0,0.0,0,1
SLB,55.0999984741211,99.9999999997437,2134.80245126853,22.7,69.32991889,77.64,1,0
SLE,19.5345363616943,100.0,576.740231738962,140.2,57.84746516,59.171,1,0
SLV,95.4000015258789,100.0,3761.51368000275,15.5,95.56213774,30.3,1,0
SMR,100.0,,42281.643467688,2.2,100.0,3.261,0,1
SOM,51.1348609924316,100.0,387.607994416701,134.3,48.71115368,56.755,1,0
SRB,99.9000015258789,100.0,5588.98072768556,6.3,93.3864573,44.304,0,0
SSA,39.0085646241815,100.0,1675.64561600657,85.3451660307811,59.5973612346711,61.3702345997225,1,0
SSD,4.60133981704712,100.0,1071.77776475545,97.9,41.24750946,81.148,1,0
SSF,39.0142132483841,100.0,1676.89421918474,85.4,59.6007558427319,61.368681451277,1,0
SST,77.0940376650019,93.7076905660425,11585.6451509215,47.5342170454195,86.4992731009865,42.6105943732783,0,0
STP,67.2492980957031,100.0,1571.4985399244,23.1,77.12422979,29.826,1,0
SUR,94.8952331542969,100.0,8907.75122246823,20.3,95.74769217,33.944,0,0
SVK,100.0,100.0,16390.8821748507,6.2,99.78718913,46.111,0,0
SVN,100.0,99.7937147060447,20890.1664304173,2.6,99.5,46.219,0,0
SWE,100.0,3.55514624121341,51545.4836095322,2.9,99.78123103,13.447,0,1
SWZ,64.0124130249023,100.0,3583.31129031343,57.2,66.70395522,76.7,1,0
SXM,100.0,,32274.8905524359,,95.31117933,0.0,0,1
SYC,100.0,100.0,15157.5302874866,14.8,96.2508915,44.6,0,0
SYR,89.8164291381836,100.0,857.497867522093,41.6,93.50961148,47.832,1,0
TCA,100.0,,25783.2941047676,,94.31818182,7.80500000000001,0,0
TCD,7.69999980926514,100.0,774.411600504375,128.7,44.39909697,77.485,1,0
TEA,97.4914290776616,99.3747815345824,6574.56465570346,17.8377906393829,90.8383821132377,47.4013912368961,0,0
TEC,98.5114375847624,97.0686134247632,7993.44005151042,13.2380915363465,95.9532022408514,34.1462089402863,0,0
TGO,44.647590637207,100.0,559.445746549378,75.9,63.63712635,59.9,1,0
THA,99.5999984741211,100.0,5708.79692481031,10.8,99.25917058,52.306,0,0
TJK,98.0,100.0,970.365223790049,37.5,76.23949551,73.258,1,0
TKM,100.0,100.0,6208.2966545016,42.2,97.65894431,49.683,0,0
TLA,97.2376916004314,90.4602765417808,8497.45594058406,18.3838235465349,95.9788339817104,20.0929355039463,0,0
TLS,67.2815322875977,100.0,1322.3009129909,50.2,75.25010371,70.51,1,0
TMN,95.8221472131393,100.0,3811.77767170547,27.0071869614705,92.1313844720206,39.814796995999,1,0
TON,100.0,100.0,4117.96071656001,12.4,98.54970535,76.725,1,0
TSA,84.5427706253558,99.9754626363562,1523.69780745339,48.8172268142106,88.6062033398659,67.2411987817537,1,0
TSS,39.0142132483841,100.0,1676.89421918474,85.3420040679912,59.6007558427319,61.368681451277,1,0
TTO,100.0,100.0,18389.5310320673,19.3,98.13617765,46.681,0,0
TUN,99.9000015258789,100.0,3960.97532992845,17.2,94.8454551,31.944,1,0
TUR,100.0,100.0,10851.9541305658,13.0,96.25615912,26.389,0,0
TUV,98.0148849487305,,3384.35777601473,26.0,100.0,40.27,1,0
TZA,26.1706371307373,100.0,928.806457519531,58.1,52.96379459,68.383,1,0
UGA,18.5,100.0,864.18006234671,55.7,47.84155836,77.94,1,0
UKR,100.0,100.0,2124.66235351563,9.5,93.65690669,30.939,1,0
UMC,98.8931797741118,97.1028434807095,8132.28571037896,14.1,93.7531124650238,36.5798833474602,0,0
URY,99.7094802856445,26.4441570195712,15655.936997552,8.9,99.13139756,4.955,0,0
USA,100.0,8.46530650743068,56762.7294515989,6.8,99.44715776,18.329,0,1
UZB,100.0,100.0,2753.97107219949,19.3,97.52857826,49.25,1,0
VCT,99.6432723999023,100.0,7386.73759501693,16.7,95.1452199,49.036,0,0
VEN,100.0,99.9950831613335,,19.1,94.57127501,11.846,0,0
VGB,100.0,,,,99.86438356,53.417,0,0
VIR,100.0,50.0,34007.3529411765,,98.71827281,4.65000000000001,0,1
VNM,99.8213043212891,100.0,2595.23497870737,21.8,93.32806058,66.191,1,0
VUT,52.2051010131836,99.9999999989334,2643.88608538737,28.2,89.98817649,75.039,1,0
WLD,86.5258006896778,92.6560738172953,10153.7807729499,42.6,88.154184607413,46.1686148441599,0,0
WSM,99.0670852661133,99.9999999994243,4048.51387550813,18.6,91.32139736,81.086,1,0
XKX,99.8600006103516,,3520.7664492744,,,,1,0
YEM,67.3109283447266,100.0,1488.41648208462,60.7,55.77886863,65.223,1,0
ZAF,85.3000030517578,100.0,6204.92990145846,36.3,91.87634387,35.172,0,0
ZMB,31.1000003814697,100.0,1307.90964916032,67.7,61.33874628,58.093,1,0
ZWE,33.7000007629395,100.0,1410.32917419555,61.3,64.95492911,67.615,1,0
